Epochs,Validation Scores,Validation Running Scores
0,58.14512253724171,
1,56.79961556943777,
2,58.24123017779913,
3,58.33733781835656,
4,59.394521864488226,
5,62.27775108121095,
6,62.349831811629016,
7,62.15761653051417,
8,62.421912542047096,
9,62.2537241710716,
10,62.205670350792886,
11,62.518020182604516,
12,62.974531475252284,
13,63.47909658817876,
14,62.90245074483421,
15,62.8543969245555,
16,64.12782316194138,
0,,58.14512253724171
1,,56.79961556943777
2,,58.24123017779913
3,,58.33733781835656
4,,59.394521864488226
5,,62.27775108121095
6,,62.349831811629016
7,,62.15761653051417
8,,62.421912542047096
9,,62.2537241710716
10,,62.205670350792886
11,,62.518020182604516
12,,62.974531475252284
13,,63.47909658817876
14,,62.90245074483421
15,,62.8543969245555
16,,64.12782316194138
